,game_id,full_date,home_team,away_team,Open,goal_difference,won,ANA,ARI,BOS,BUF,CAR,CBJ,CGY,CHI,COL,DAL,DET,EDM,FLA,LAK,MIN,MTL,NJD,NSH,NYI,NYR,OTT,PHI,PIT,SJS,STL,TBL,TOR,VAN,VGK,WPG,WSH,goalsAgainst_cumul_sum,goalsFor_cumul_sum,goalsDiff_cumul_sum,goalsFor%_cumul_avg,pp%_cumul_avg,pk%_cumul_avg,sh%_cumul_avg,sv%_cumul_avg,PDO_cumul_avg,fenwickPercentage_cumul_avg,win%_last_10_games,win%_cumul
0,2017020001,20171004,WPG,TOR,-110,-5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,,,,,,,,,,,,
1,2017020002,20171004,PIT,STL,-185,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,0,0,0,0,0,,,,,,,,,,,,
2,2017020003,20171004,EDM,CGY,-152,3.0,1,0,0,0,0,0,0,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
3,2017020004,20171004,SJS,PHI,-160,-2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,,,,,,,,,,,,
4,2017020006,20171005,BUF,MTL,110,0.0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
5,2017020005,20171005,BOS,NSH,-135,1.0,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
6,2017020007,20171005,NYR,COL,-200,-2.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
7,2017020008,20171005,OTT,WSH,125,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,
8,2017020009,20171005,DET,MIN,120,2.0,1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
9,2017020010,20171005,CHI,PIT,-135,9.0,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,
10,2017020012,20171005,LAK,PHI,-165,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
11,2017020011,20171005,ANA,ARI,-185,1.0,1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
12,2017020013,20171006,CBJ,NYI,-160,5.0,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
13,2017020014,20171006,TBL,FLA,-165,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,,,,,,,,,,,,
14,2017020015,20171006,DAL,VGK,-240,-1.0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,
15,2017020017,20171007,OTT,DET,-138,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,-2.0,5.0,7.0,0.4444444444444445,0.16666666666666669,0.19999999999999996,0.17452440033085193,0.0997920997920998,0.2743165001229516,-0.1532,1.0,1.0
16,2017020018,20171007,FLA,TBL,-105,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2.0,0.0,-2.0,-0.16666666666666663,-0.4,0.0,-0.0040322580645161255,-0.09157509157509158,-0.09560734963960782,0.014999999999999958,-1.0,-1.0
17,2017020019,20171007,NJD,COL,-155,3.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,-2.0,-4.0,-0.25,-0.3333333333333333,-0.33333333333333326,-0.11666666666666668,-0.11666666666666659,-0.23333333333333328,0.21960000000000002,-1.0,-1.0
18,2017020021,20171007,PIT,NSH,-170,4.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,,,,,,,,,,,,
19,2017020016,20171007,TOR,NYR,-145,3.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,3.0,-2.0,-5.0,-0.5,-0.2,-0.5,-0.044444444444444446,-0.08513513513513504,-0.12957957957957944,-0.10699999999999998,0.0,0.0
