,ANA,ARI,BOS,BUF,CAR,CBJ,CGY,CHI,COL,DAL,DET,EDM,FLA,LAK,MIN,MTL,NJD,NSH,NYI,NYR,OTT,PHI,PIT,SJS,STL,TBL,TOR,VAN,WPG,WSH,goalsAgainst_cumul_sum,goalsFor_cumul_sum,goalsDiff_cumul_sum,goalsFor%_cumul_avg,pp%_cumul_avg,pk%_cumul_avg,sh%_cumul_avg,sv%_cumul_avg,fenwickPercentage_cumul_avg,PDO_cumul_avg,last_10_games_win%,win%
987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.0,82.0,14.0,0.5162818662818663,0.19343434343434346,0.8924242424242425,0.08050279916856165,0.9346531125431735,0.4999969696969697,1.015155911711735,0.75,0.5454545454545454
988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,83.0,-17.0,0.44262429489702215,0.15937950937950937,0.7699134199134202,0.09445822127425348,0.9047109608563803,0.4490818181818182,0.9991691821306335,0.75,0.3939393939393939
989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.0,79.0,-39.0,0.3699452508276039,0.12930672268907564,0.7337535014005604,0.07897836268616111,0.87972216134796,0.49095294117647076,0.9587005240341213,0.4,0.2647058823529412
990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.0,92.0,13.0,0.5188289141414143,0.21458333333333332,0.8215277777777777,0.10588202660643345,0.8926791805551801,0.550575,0.9985612071616133,0.6,0.5625
991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.0,90.0,2.0,0.49902033730158724,0.21354166666666663,0.8319940476190478,0.10372568295930239,0.8812384729663988,0.5436062499999998,0.9849641559257016,0.25,0.53125
992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.0,82.0,-9.0,0.44427609427609427,0.1316738816738817,0.8553150553150555,0.08022791400349949,0.9065446834036356,0.5094848484848485,0.9867725974071352,0.0,0.3939393939393939
993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.0,81.0,-2.0,0.4894999781363418,0.21565656565656566,0.7646464646464648,0.09859394100102381,0.8986011692339999,0.4766181818181818,0.9971951102350239,0.75,0.42424242424242425
994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.0,71.0,-11.0,0.43031505531505526,0.14199134199134197,0.8502164502164502,0.08316381904024807,0.9130476612575033,0.4703727272727273,0.9962114802977511,0.5,0.3939393939393939
995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.0,75.0,-13.0,0.45856331168831177,0.19105902777777775,0.8183779761904763,0.08917810614822143,0.9148962305477627,0.434646875,1.0040743366959843,0.25,0.375
996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.0,81.0,-22.0,0.4310211489898991,0.14479166666666668,0.8160714285714288,0.08704949035391,0.8967881577150398,0.4746249999999999,0.9838376480689502,0.2,0.34375
